[0001|0.93] bce:  0.00202 | dice:  0.31311 | iou_background:  0.56746 | iou_ring:  0.62335 | iou_boundary:  0.53229 | iou_center:  0.00000 | lr:  0.00100
[0001|0.96] bce:  0.00202 | dice:  0.31307 | iou_background:  0.56618 | iou_ring:  0.62453 | iou_boundary:  0.53223 | iou_center:  0.00000 | lr:  0.00100
[0001|0.98] bce:  0.00200 | dice:  0.31255 | iou_background:  0.56871 | iou_ring:  0.62528 | iou_boundary:  0.53279 | iou_center:  0.00000 | lr:  0.00100
[0001|1.00] bce:  0.00199 | dice:  0.31295 | iou_background:  0.56692 | iou_ring:  0.62475 | iou_boundary:  0.53225 | iou_center:  0.00000 | lr:  0.00100
[0002|0.02] bce:  0.00140 | dice:  0.26446 | iou_background:  0.48388 | iou_ring:  0.63171 | iou_boundary:  0.59011 | iou_center:  0.00000 | lr:  0.00100
[0002|0.04] bce:  0.00172 | dice:  0.29657 | iou_background:  0.52598 | iou_ring:  0.62549 | iou_boundary:  0.55437 | iou_center:  0.00000 | lr:  0.00100
[0002|0.07] bce:  0.00195 | dice:  0.28542 | iou_background:  0.51874 | iou_ring:  0.60719 | iou_boundary:  0.56555 | iou_center:  0.00000 | lr:  0.00100
[0002|0.09] bce:  0.00204 | dice:  0.28244 | iou_background:  0.56759 | iou_ring:  0.60596 | iou_boundary:  0.56858 | iou_center:  0.00000 | lr:  0.00100
[0002|0.11] bce:  0.00187 | dice:  0.29034 | iou_background:  0.63492 | iou_ring:  0.60898 | iou_boundary:  0.55850 | iou_center:  0.00000 | lr:  0.00100
[0002|0.13] bce:  0.00171 | dice:  0.28811 | iou_background:  0.65267 | iou_ring:  0.61541 | iou_boundary:  0.56058 | iou_center:  0.00000 | lr:  0.00100
[0002|0.16] bce:  0.00166 | dice:  0.28534 | iou_background:  0.66143 | iou_ring:  0.62071 | iou_boundary:  0.56393 | iou_center:  0.00000 | lr:  0.00100
[0002|0.18] bce:  0.00163 | dice:  0.29240 | iou_background:  0.68499 | iou_ring:  0.60916 | iou_boundary:  0.55810 | iou_center:  0.00000 | lr:  0.00100
[0002|0.20] bce:  0.00158 | dice:  0.28990 | iou_background:  0.66958 | iou_ring:  0.61161 | iou_boundary:  0.56032 | iou_center:  0.00000 | lr:  0.00100
[0002|0.22] bce:  0.00152 | dice:  0.29272 | iou_background:  0.67035 | iou_ring:  0.61265 | iou_boundary:  0.55655 | iou_center:  0.00000 | lr:  0.00100
[0002|0.24] bce:  0.00157 | dice:  0.29025 | iou_background:  0.67013 | iou_ring:  0.61152 | iou_boundary:  0.55909 | iou_center:  0.00000 | lr:  0.00100
[0002|0.27] bce:  0.00163 | dice:  0.29043 | iou_background:  0.64535 | iou_ring:  0.62207 | iou_boundary:  0.55855 | iou_center:  0.00000 | lr:  0.00100
